DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 10E ARRDT	Pommier à fleurs	38,57
Alignement	PARIS 14E ARRDT	Erable	42,58
Alignement	PARIS 20E ARRDT	Erable	51,72
Alignement	PARIS 12E ARRDT	Tilleul	26,09
Alignement	BOIS DE BOULOGNE	Erable	23,43
Alignement	PARIS 16E ARRDT	Tilleul	100
Alignement	PARIS 15E ARRDT	Chêne	17,14
Alignement	PARIS 11E ARRDT	Sophora	32,5
Alignement	PARIS 19E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Poirier à fleurs	37,5
Alignement	PARIS 20E ARRDT	Prunier à fleurs	23,08
Alignement	PARIS 7E ARRDT	Platane	66,67
Alignement	PARIS 7E ARRDT	Platane	116,07
Alignement	BOIS DE BOULOGNE	Erable	25,07
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	19,08
Alignement	BOIS DE BOULOGNE	Platane	105
Alignement	PARIS 15E ARRDT	Sophora	29,74
Alignement	PARIS 14E ARRDT	Platane	10,71
Alignement	PARIS 14E ARRDT	Platane	96,43
Alignement	PARIS 18E ARRDT	Tilleul	25,26
Alignement	PARIS 7E ARRDT	Platane	100
Alignement	PARIS 12E ARRDT	Platane	100
Alignement	PARIS 13E ARRDT	Frêne	13,24
Alignement	PARIS 13E ARRDT	Peuplier	26,09
Alignement	PARIS 16E ARRDT	Sophora	23,58
Alignement	PARIS 13E ARRDT	Platane	44,21
Alignement	PARIS 13E ARRDT	Marronnier	38,71
Alignement	PARIS 9E ARRDT	Poirier à fleurs	44,21
Alignement	PARIS 18E ARRDT	Marronnier	100
Alignement	PARIS 1ER ARRDT	Platane	23,44
Alignement	PARIS 13E ARRDT	Frêne	19,41
Alignement	PARIS 13E ARRDT	Erable	31,25
Alignement	PARIS 16E ARRDT	Sophora	36
Alignement	PARIS 15E ARRDT	Noisetier de Byzance	15,52
Alignement	PARIS 14E ARRDT	Platane	31,03
Alignement	PARIS 16E ARRDT	Sophora	30
Alignement	PARIS 14E ARRDT	Tilleul	31,03
Alignement	PARIS 12E ARRDT	Platane	50
Alignement	PARIS 5E ARRDT	Platane	58,06
Alignement	PARIS 13E ARRDT	Pommier à fleurs	29,17
Alignement	PARIS 18E ARRDT	Erable	15
